Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
HSPD1	20.72117	21.71205	14.82938	21.88185	19.73362	17.19425	20.35756	21.47388	22.24455	22.04883	23.53445	22.32301	23.15024	21.75005	21.99151	22.41478	25.02272	24.60014
XRCC5	21.40036	19.6881	20.77225	21.76109	21.9105	19.93905	21.58829	20.8662	21.00861	19.55163	21.46428	21.74205	20.78716	21.78632	20.7496	21.61899	21.47398	21.31678
RNH1	20.33745	19.53721	20.35046	21.76935	21.19976	20.94742	20.34787	20.65088	19.22046	17.89676	19.68921	20.6577	20.38785	19.8345	19.19773	19.92154	20.37613	20.23128
VCAN	23.5285	22.80682	22.05046	25.04897	22.42621	23.4353	23.63445	23.12106	22.85276	22.02746	22.36019	20.99749	22.70132	22.55717	15.85713	21.26848	19.37312	20.88219
HNRNPL	20.36805	20.383	19.70752	22.75507	22.65165	19.7934	20.63307	21.63174	20.80499	22.30474	20.73066	23.1557	22.3801	21.94403	20.10508	21.19051	22.73734	22.04856
CPA3	23.6971	24.75445	24.50736	23.35151	24.33477	23.92107	23.75216	23.1442	25.11196	24.54292	24.17104	22.41712	23.34286	19.91165	19.28175	20.90845	19.48115	21.93002
CBR1	21.68213	21.92575	20.67538	21.73016	22.15952	21.51036	21.54727	22.58463	21.51605	22.53208	22.028	22.33993	22.48493	21.71444	22.2055	22.14168	22.87871	22.63374
PFKL	19.71688	16.04148	20.01631	20.92296	20.041	18.98318	21.39911	19.38159	20.56467	21.46702	20.81839	21.3859	21.16232	20.10674	21.50261	21.21424	21.94703	21.58527
ITIH2	19.34508	19.5613	20.25176	22.17072	19.94735	19.82092	20.89141	20.79479	20.35014	22.34611	20.62801	20.09726	22.03591	19.4474	20.48473	19.72087	19.01031	21.50271
OGN	22.66221	23.44076	23.20538	23.45262	23.27128	24.38258	23.9276	21.18912	22.73876	23.7495	23.14211	21.87493	22.93557	23.40432	22.02479	21.07535	15.85561	22.62565
COMT	19.85682	20.87094	20.84858	19.16967	19.65237	15.74387	19.81305	19.95971	21.92843	20.79456	19.67461	19.61711	20.79741	20.57792	20.52334	20.51422	19.79178	21.51302
CMA1	22.3297	25.76684	22.35523	21.88028	22.85439	22.93796	23.6457	20.84995	24.73825	24.29039	23.82143	20.8101	23.58164	19.90027	18.80108	19.35132	18.21888	21.74263
MYL9	21.77407	21.6756	21.18174	20.87358	21.22394	21.46842	21.86533	19.93344	21.0745	22.01424	22.17919	19.76917	20.993	21.61648	21.25043	20.28489	19.13001	21.6718
PSMA2	21.52468	20.98266	21.00765	21.8469	21.85753	19.73732	21.54783	22.30761	21.66179	20.2307	21.81699	22.2162	20.2995	22.19511	22.18235	22.58717	21.97705	20.13533
HMGB2	19.06139	18.87541	20.3705	20.44476	21.60177	19.11822	18.94361	20.81104	19.97953	22.59626	20.63361	22.53048	22.64856	20.11832	19.8884	21.47966	21.5981	21.52712
PSMB4	21.97778	22.01828	21.02168	21.06638	22.1243	21.66687	23.0729	21.75071	21.13709	21.63085	21.54548	21.44127	21.36442	21.80927	22.08193	21.62956	21.29765	21.36917
PSMB5	20.81925	20.2867	21.15999	21.92741	20.60503	19.16108	21.12792	20.77531	21.44592	19.88612	20.1684	20.17889	21.48792	21.79511	16.47453	21.85905	18.82037	22.0654
KRT9	20.17341	23.89495	20.00168	22.20099	20.73032	22.86488	20.13746	18.5257	20.72359	16.05518	20.28658	22.48335	22.60479	22.79112	20.19099	20.0555	19.62305	21.22276
TALDO1	22.42621	22.81964	21.43314	21.71045	22.03604	17.42789	22.31133	23.87783	22.74076	23.63998	22.41201	23.57277	24.0486	22.74813	22.35429	22.52652	23.2571	24.24154
MARCKSL1	19.22437	18.61615	18.78705	20.31041	20.30508	18.54751	18.48927	19.50133	20.63423	20.4709	19.97729	20.86439	20.63538	21.01665	19.27478	21.03349	21.07712	20.98343
CRIP1	21.61072	23.0801	20.2049	20.38974	21.72242	22.24676	20.80317	21.49326	22.11245	20.64957	20.21679	19.94607	21.54745	21.39336	21.21916	19.97925	19.92223	19.56642
VASP	19.27182	17.00255	19.35776	19.62975	20.19952	19.97911	19.59745	19.90139	19.77918	20.34473	20.85757	20.55159	20.60648	20.02472	20.70337	20.72025	19.94921	21.03812
SEC61B	20.05629	20.24876	18.3059	18.08701	18.45563	20.75426	20.72251	18.74136	18.66879	19.67652	20.41493	19.03687	19.46792	20.43522	19.44455	18.67483	17.61411	21.03805
UBE2N	21.75935	16.50069	22.30045	21.03409	22.31277	22.61275	22.04753	22.67786	22.03832	22.06516	21.9065	22.6685	21.76935	22.52186	21.4095	22.2406	21.6049	21.99697
ACTR3	21.43369	21.17603	21.11623	22.01696	21.65473	16.81078	21.36437	22.15227	21.56973	21.88985	22.63338	23.05542	22.64126	21.88453	22.3431	22.2204	21.92067	22.81149
SNRPE	21.08518	16.82425	20.70007	21.17432	22.27597	22.19964	21.17194	21.30184	20.86174	19.22291	21.31213	21.1013	19.16285	21.38606	21.27589	21.69723	20.77507	18.09846
SNRPF	20.51412	17.29066	19.71028	20.96585	21.34884	21.83279	21.30463	21.19641	21.40447	21.02945	20.00265	22.02025	21.34413	21.84927	21.59149	21.4399	20.7909	21.25903
LSM3	20.46084	15.90781	19.80016	20.13232	20.76239	20.74887	20.45	20.14121	20.34873	20.4805	20.06986	20.92107	20.26682	20.98982	21.0675	21.32882	19.95816	18.62767
RPS25	22.23014	15.99874	22.46286	22.48294	22.60295	21.87852	22.25098	22.9569	22.02327	22.80112	23.20653	23.24154	23.18418	23.04699	22.46121	23.70588	22.53806	23.33238
GNB1	20.65508	21.03658	21.40868	22.19334	21.96187	21.36415	20.71984	21.29311	20.25511	16.56299	21.94088	20.33756	18.5591	20.82532	20.09365	20.98329	21.30602	18.93632
RBM3	21.74115	22.35192	21.53815	22.33167	23.60953	23.40497	23.30341	21.80845	21.73624	21.33325	20.29345	22.06121	22.41072	22.89685	22.42903	19.36389	21.05729	22.36025
