"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"102","CAD13_HUMAN","AR_vs_STA",-1.31889923395733,0.851123465616102,-1.54959801631438,10,0.152281108062041,0.385053658956876,NA,0.56140350877193,0.350877192982456
"103","CAD15_HUMAN","AR_vs_STA",-0.3568406330038,1.75589720707064,-0.203224101938813,1,0.872361729140425,0.939661279783534,NA,0.94047619047619,0.0119047619047619
"104","CADH1_HUMAN","AR_vs_STA",-0.941837141022978,1.09522452002641,-0.859948918054048,8,0.414842889528609,0.620948764875803,NA,0.878787878787879,0.21969696969697
"105","CADH2_HUMAN","AR_vs_STA",-0.733927440251846,0.577074795272051,-1.27180643872316,8,0.239165841112776,0.472987194155993,NA,0.822222222222222,0.155555555555556
"106","CADH6_HUMAN;CAD10_HUMAN;CADH9_HUMAN","AR_vs_STA",0.257763423595598,0.411532067217357,0.626350761286985,5,0.558565437089774,0.737566569506114,NA,0.85,0.0833333333333333
"107","CADH8_HUMAN","AR_vs_STA",0.151223222228659,0.560489626023586,0.269805568573174,5,0.798091055132715,0.902633333920068,NA,0.883333333333333,0
"108","CADM1_HUMAN","AR_vs_STA",-1.23449362129643,0.593390331346131,-2.0804073745117,8,0.0710701628089274,0.279542640381781,NA,0.658333333333333,0.241666666666667
"109","CADM2_HUMAN","AR_vs_STA",-0.830589653079636,0.357077043140711,-2.32607967673893,6,0.0589562142815412,0.254518290922751,NA,0.652777777777778,0.319444444444444
"110","CADM3_HUMAN","AR_vs_STA",0.0761473538461231,0.502250418595553,0.151612325299906,7,0.88376971884878,0.945539340398176,NA,0.702380952380952,0.238095238095238
"111","CADM4_HUMAN","AR_vs_STA",-2.30911381067369,0.653021934061667,-3.53604326322006,10,0.00539220118127437,0.145130386247536,NA,0.486111111111111,0.386111111111111
"112","CAH1_HUMAN","AR_vs_STA",0.507013301023942,0.214491741844292,2.36378937792395,2,0.141857485917919,0.372918800890963,NA,0.984848484848485,0
"113","CAH2_HUMAN","AR_vs_STA",-0.308624045496875,0.4863454310573,-0.634577865419514,2,0.590611033867888,0.767252499043055,NA,0.962121212121212,0.0227272727272727
